,prix,localites
0,15000 / 10000   Tous les jours,Brazzaville - Pointe-noire
1,15000 / 12000   Tous les jours,Brazzaville - Ouesso
2,8000 / 6000   Tous les jours,Brazzaville - Nkayi
3,7000 / 6000   Tous les jours,Brazzaville - Oyo
4,12000 / 10000    Mercredi  Vendredi,Brazzaville - Okoyo
5,15000 / 12000    Mardi  Samedi,Brazzaville - Kéllé
6,10000 / 10000    Mardi  Samedi,Pointe-noire - Sibiti
7,6000 / 6000   Tous les jours,Pointe-noire - Nkayi
8,5000 / 4000   Tous les jours,Pointe-noire - Dolisie
9,7000 / 6000   Tous les jours,Brazzaville - Ollombo
10,9000 / 7000   Tous les jours,Brazzaville - Obouya
11,10000 / 8000    Lundi  Mardi  Mercredi  Vendredi  Samedi,Brazzaville - Boundji
12,10000 / 8000   Tous les jours,Brazzaville - Owando
13,18000 / 15000   Dimanche  Mardi  Jeudi,Brazzaville - Pokola
14,32000 / 30000   Dimanche  Mardi  Jeudi,Brazzaville - Dongou
15,25000 / 20000   Dimanche  Mardi  Jeudi,Brazzaville - Thanry
16,5000 / 4000   Tous les jours,Brazzaville - Mindouli
17,6000 / 5000    Lundi  Mercredi  Vendredi,Brazzaville - Djambala
18,6000 / 5000   Tous les jours,Brazzaville - Gamboma
19,5000 / 4000   Tous les jours,Brazzaville - Ngo
20,12000 / 10000   Tous les jours,Brazzaville - Sibiti
21,7000 / 5000   Tous les jours,Brazzaville - Bouansa
22,12000 / 10000   Tous les jours,Brazzaville - Makoua
23,13000 / 10000    Mardi  Jeudi  Samedi,Brazzaville - Etoumbi
24,13000 / 10000    Mardi  Samedi,Brazzaville - Ewo
25,13000 / 11000   Tous les jours,Brazzaville - Epere
26,30000 / 25000   Dimanche  Mardi  Jeudi,Brazzaville - Enyelle
27,7000 / 5000   Tous les jours,Brazzaville - Loutété
28,9000 / 7000   Tous les jours,Brazzaville - Loudima
29,10000 / 8000   Tous les jours,Brazzaville - Dolisie
30,35000 / 30000   Dimanche  Mardi  Jeudi,Brazzaville - Impfondo
31,35000 / 25000   Dimanche  Mardi  Jeudi,Brazzaville - Betou
32,7000 / 5000   Tous les jours,Pointe-noire - Madingou
33,7000 / 5000   Tous les jours,Brazzaville - Madingou
