,localites,prix_adulte,prix_enfant,jour_voyage
0,Brazzaville - Pointe-noire,15000 ,10000,Tous les jours
1,Brazzaville - Ouesso,15000 ,12000,Tous les jours
2,Brazzaville - Nkayi,8000 ,6000,Tous les jours
3,Brazzaville - Oyo,7000 ,6000,Tous les jours
4,Brazzaville - Okoyo,12000 ,10000,Mercredi  Vendredi
5,Brazzaville - Kéllé,15000 ,12000,Mardi  Samedi
6,Pointe-noire - Sibiti,10000 ,10000,Mardi  Samedi
7,Pointe-noire - Nkayi,6000 ,6000,Tous les jours
8,Pointe-noire - Dolisie,5000 ,4000,Tous les jours
9,Brazzaville - Ollombo,7000 ,6000,Tous les jours
10,Brazzaville - Obouya,9000 ,7000,Tous les jours
11,Brazzaville - Boundji,10000 ,8000,Lundi  Mardi  Mercredi  Vendredi  Samedi
12,Brazzaville - Owando,10000 ,8000,Tous les jours
13,Brazzaville - Pokola,18000 ,15000,Dimanche  Mardi  Jeudi
14,Brazzaville - Dongou,32000 ,30000,Dimanche  Mardi  Jeudi
15,Brazzaville - Thanry,25000 ,20000,Dimanche  Mardi  Jeudi
16,Brazzaville - Mindouli,5000 ,4000,Tous les jours
17,Brazzaville - Djambala,6000 ,5000,Lundi  Mercredi  Vendredi
18,Brazzaville - Gamboma,6000 ,5000,Tous les jours
19,Brazzaville - Ngo,5000 ,4000,Tous les jours
20,Brazzaville - Sibiti,12000 ,10000,Tous les jours
21,Brazzaville - Bouansa,7000 ,5000,Tous les jours
22,Brazzaville - Makoua,12000 ,10000,Tous les jours
23,Brazzaville - Etoumbi,13000 ,10000,Mardi  Jeudi  Samedi
24,Brazzaville - Ewo,13000 ,10000,Mardi  Samedi
25,Brazzaville - Epere,13000 ,11000,Tous les jours
26,Brazzaville - Enyelle,30000 ,25000,Dimanche  Mardi  Jeudi
27,Brazzaville - Loutété,7000 ,5000,Tous les jours
28,Brazzaville - Loudima,9000 ,7000,Tous les jours
29,Brazzaville - Dolisie,10000 ,8000,Tous les jours
30,Brazzaville - Impfondo,35000 ,30000,Dimanche  Mardi  Jeudi
31,Brazzaville - Betou,35000 ,25000,Dimanche  Mardi  Jeudi
32,Pointe-noire - Madingou,7000 ,5000,Tous les jours
33,Brazzaville - Madingou,7000 ,5000,Tous les jours
